Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Mentha x smithiana,Red Raripila Mint,Perennial,1.0,5-9,,LMH,SN,M,3,2,
Morus rubra,"Red Mulberry, Common Mulberry, White Mulberry",Tree,15.0,4-9,,LMH,SN,M,3,2,2
Najas graminea,Ricefield waternymph,Annual,0.2,7-10,,LMH,SN,Wa,1,0,
Nasturtium officinale,Watercress,Perennial,0.5,3-11,F,LMH,N,WeWa,4,3,2
Orostachys japonica,Rock Pine,Biennial/Perennial,0.1,-,,LM,SN,M,0,2,
Osmunda regalis,"Royal Fern, Flowering Fern",Fern,2.0,4-9,M,LMH,SN,MWe,0,2,
Oxalis oregana,Redwood Sorrel,Perennial,0.2,6-9,,LMH,FSN,M,3,1,3
Packera obovata,Roundleaf ragwort,Perennial,0.6,3-8,F,LMH,FSN,M,0,0,2
Pelargonium graveolens,"Rose Geranium, Sweet scented geranium",Shrub,1.2,10-11,M,LM,N,DM,2,3,3
Perovskia atriplicifolia,"Russian Sage, Azure Sage",Perennial,1.5,5-10,M,LMH,N,DM,1,1,
Persea borbonia,"Red Bay, Sweetbay",Tree,15.0,7-11,M,LM,N,M,1,2,2
Peteria scoparia,Rush peteria,Perennial,0.3,0-0,,LMH,SN,M,1,0,
Photinia x fraseri,"Red Tip Photinia, Fraser Photinia",Shrub,3.0,7-9,M,LM,SN,DM,0,0,
Phyllostachys rubromarginata,Reddish bamboo,Bamboo,8.0,7-10,F,LMH,SN,M,3,0,2
Pinus resinosa,Red Pine,Tree,35.0,3-7,M,LM,N,DM,1,2,
Pittosporum ralphii,Ralph's desertwillow,Shrub,4.0,8-11,,LM,N,DM,0,0,
Plantago lanceolata,"Ribwort Plantain, Narrowleaf plantain",Perennial,0.5,5-9,,LMH,N,DM,2,3,3
Polygonum persicaria,"Red Leg, Spotted ladysthumb",Annual,0.6,4-8,,LMH,SN,M,1,2,0
Portulaca grandiflora,Rose Moss,Annual,0.2,-,,LM,N,DM,2,2,
Potentilla recta,"Rough-Fruited Cinquefoil, Erect cinquefoil",Perennial,0.6,4-8,,LMH,SN,M,2,1,0
Prenanthes altissimus,Rattlesnake Root,Perennial,1.8,4-8,,LMH,FS,M,0,1,
Prinsepia uniflora,Rui Ren,Shrub,1.8,4-8,,LMH,SN,M,2,0,
Prunus serotina,"Rum Cherry - Wild Cherry, Black  Cherry, Wild Black  Cherry",Tree,18.0,3-9,F,LMH,N,M,4,2,0
Prunus subhirtella,"Rosebud Cherry, Higan Cherry, Winter-flowering cherry",Tree,8.0,5-8,F,LMH,SN,M,2,1,
Pyrola rotundifolia,Round-Leaved Wintergreen,Perennial,0.3,4-8,,LM,FSN,M,0,2,
Ranunculus aquatilis,"Water Crowfoot,  White water crowfoot",Annual/Perennial,0.0,4-8,,LMH,SN,MWeWa,1,1,
Ranunculus hirtus,,Perennial,0.0,-,,LMH,SN,M,0,1,
Ranunculus kochii,,Perennial,0.1,5-9,,LMH,N,M,1,0,
Ranunculus muricatus,"Rough-Seed Buttercup, Spinyfruit buttercup",Annual,0.3,0-0,,LMH,SN,M,0,1,
Ranunculus occidentalis,Western Buttercup,Perennial,0.6,-,,LMH,SN,M,1,0,
Ranunculus ternatus,,Perennial,0.3,-,,LMH,SN,M,0,1,
Raphanus landra,Radish,Annual,0.8,-,,LMH,SN,M,2,0,
Raphanus maritima,Sea Radish,Biennial,0.8,-,,LMH,SN,M,2,0,
Raphanus sativus,"Radish, Cultivated radish",Annual,0.5,2-11,F,LMH,SN,M,4,3,0
Reseda phyteuma,Rampion mignonette,Annual/Biennial,0.3,0-0,,LMH,SN,M,1,0,
Rhamnella franguloides,,Shrub,6.0,-,,LMH,SN,M,1,0,
Rhamnus croceus,Red Berry,Shrub,4.0,7-10,,LMH,N,DM,2,0,
Rhamnus lycioides,,Shrub,0.0,-,,LMH,N,DM,0,0,
Rhamnus persicus,,Shrub,1.0,-,,LMH,SN,M,2,0,
Rhamnus virgatus,,Shrub,2.0,-,,LMH,SN,M,1,1,
Rheum palmatum,"Turkey Rhubarb, Chinese Rhubarb - Da Huang, Chinese rhubarb",Perennial,3.0,6-9,,MH,SN,M,3,5,2
Rheum rhaponticum,"Rhubarb, Garden rhubarb",Perennial,1.2,3-7,,MH,SN,M,2,3,
Rheum x cultorum,Rhubarb,Perennial,1.5,3-7,,MH,SN,M,4,3,2
Rhodiola rosea,Rose Root,Perennial,0.3,0-0,,LMH,N,DM,2,3,3
Rhododendron aureum,Rosebay,Shrub,0.5,-,,LM,SN,M,0,2,
Rhododendron indicum,Rhododendron,Shrub,2.0,5-9,,LM,S,M,1,0,
Rhododendron maximum,"Rosebay Rhododendron, Great laurel",Shrub,3.5,3-7,,LM,S,M,0,1,
Rhododendron molle,Chinese Azalea,Shrub,2.5,6-9,,LM,S,M,0,1,
Rhododendron ponticum,Rhododendron,Shrub,5.0,6-9,,LM,S,M,0,1,
Rhus ambigua,,Climber,0.0,6-9,,LMH,SN,M,0,0,
Rhus chinensis,"Chinese Gall, Chinese sumac",Tree,6.0,7-10,,LMH,N,M,2,3,
Rhus potaninii,,Tree,12.0,4-8,,LMH,N,M,0,2,
Rhus punjabensis sinica,,Tree,12.0,5-9,,LMH,N,M,3,2,
Rhus trilobata,"Skunk Bush, Basketbush, Squawbush, Three Leaf  Sumac",Shrub,1.8,4-6,M,LMH,N,DM,4,2,3
Rhus typhina,"Stag's Horn Sumach,  Velvet Sumac,  Staghorn Sumac",Shrub,6.0,4-8,F,LMH,N,DM,4,2,3
Rhus wallichii,,Tree,8.0,-,,LMH,N,M,0,1,
Ribes altissimum,,Shrub,3.0,5-9,,LMH,SN,M,3,0,
Ribes distans,,Shrub,0.6,4-8,,LMH,SN,M,2,0,
Ribes fasciculatum,,Shrub,1.5,4-8,,LMH,SN,M,1,0,
Ribes gayanum,,Shrub,1.5,7-10,,LMH,SN,M,3,0,
Ribes glandulosum,Skunk Currant,Shrub,0.4,-,,LMH,SN,M,2,1,
Ribes himalense,,Shrub,2.0,5-9,,LMH,SN,M,3,1,
Ribes inebrians,Whisky Currant,Shrub,2.0,4-8,,LMH,SN,M,2,1,
Ribes mandschuricum,,Shrub,3.0,5-9,,LMH,SN,M,2,0,
Ribes maximowiczii floribundum,,Shrub,2.7,5-9,,LMH,SN,M,4,0,
Ribes menziesii,Canyon Gooseberry,Shrub,1.8,6-9,,LMH,N,M,2,0,
Ribes niveum,"Slender Branched Gooseberry, Snow currant",Shrub,2.7,5-9,,LMH,N,M,2,0,
Ribes orientale,,Shrub,1.8,4-8,,LMH,SN,M,2,1,
Ribes petiolare,Wetern Blackcurrant,Shrub,1.5,3-7,,LMH,SN,M,3,0,
Ribes petraeum,"Rock Red Currant, Currant",Shrub,1.8,5-9,,LMH,SN,M,3,0,0
Ribes petraeum biebersteinii,,Shrub,1.5,5-9,,LMH,SN,M,3,0,
Ribes roezlii,Sierra Gooseberry,Shrub,1.5,6-9,,LMH,SN,DM,2,0,
Ribes rubrum,"Red Currant, Cultivated currant",Shrub,1.2,4-8,,LMH,SN,M,4,1,2
Ribes sativum,Redcurrant,Shrub,1.0,5-9,,LMH,SN,M,3,0,
Ribes valdivianum,,Shrub,3.5,-,,LMH,SN,M,2,0,
Robinia viscosa,"Clammy Locust, Hartweg's locust",Tree,13.0,3-7,M,LMH,SN,DM,0,0,3
Romanzoffia suksdorfii,California mistmaiden,Perennial,0.3,6-9,,LMH,FS,M,1,0,
Rosa californica,California Wild Rose,Shrub,2.5,4-8,,LMH,SN,M,2,2,
Rosa glauca,Red-Leafed Rose,Shrub,2.5,-,,LMH,SN,M,2,1,
Rosa macrophylla,,Shrub,4.0,6-9,F,LMH,SN,M,2,1,
Rosa majalis,"Cinnamon Rose, Double cinnamon rose",Shrub,2.7,5-9,,LMH,SN,MWe,2,1,
Rosa obtusifolia,,Shrub,0.0,4-8,,LMH,SN,M,2,1,
Rosa palustris,Swamp rose,Shrub,2.0,3-9,F,LMH,N,MWe,3,2,2
Rosa rubiginosa,"Sweet Briar, Sweetbriar rose",Shrub,2.5,4-8,,LMH,SN,M,2,3,
Rosa rugosa,"Ramanas Rose, Rugosa rose",Shrub,2.0,3-9,M,LMH,SN,DM,5,2,3
Rosa sherardii,Sherard's downy rose,Shrub,0.0,4-8,,LMH,SN,M,2,1,
Rosa virginiana,Virginia Rose,Shrub,1.5,3-7,M,LMH,SN,DM,2,1,
Rosa x beanii,,Shrub,0.0,6-9,,LMH,SN,M,2,1,
Rosmarinus officinalis,Rosemary,Shrub,1.5,6-11,M,LM,N,DM,2,3,4
Roupala montana,"Roupale, Leopardwood",Tree,15.0,10-12,M,LM,N,MWe,0,2,4
Rubia chinensis,,Perennial,0.1,-,,LMH,S,DM,1,0,
Rubus cockburnianus,,Shrub,3.0,5-9,,LMH,SN,M,1,0,
Rubus croceanthus,,Shrub,0.0,-,,LMH,SN,M,2,0,
Rubus deliciosus,"Rocky Mountain Raspberry, Delicious raspberry",Shrub,3.0,4-8,M,LMH,N,M,2,0,
Rubus hirsutus,,Shrub,2.0,-,,LMH,SN,M,2,1,
Rubus hypargyrus niveus,,Shrub,0.0,7-10,,LMH,SN,M,2,0,
Rubus idaeus,"Raspberry, American red raspberry, Grayleaf red raspberry",Shrub,2.0,4-8,M,LMH,SN,M,5,3,3
Rubus ikenoensis,,Perennial,0.0,-,,LMH,SN,M,2,0,
Rubus illecebrosus,Strawberry-Raspberry,Shrub,0.6,4-8,,LMH,SN,M,3,0,3
Rubus kuntzeanus,,Shrub,3.0,5-9,,LMH,SN,M,3,0,1
Rubus leucodermis,Whitebark Raspberry,Shrub,2.5,0-0,M,LMH,SN,M,4,1,1
Rubus macropetalus,California Blackberry,Shrub,0.0,-,,LMH,SN,M,2,1,
Rubus nessensis,,Shrub,3.0,0-0,,LMH,SN,M,3,0,1
Rubus nigricans,Setose blackberry,Shrub,1.0,0-0,,LMH,SN,M,2,0,
Rubus niveus,"Ceylon Raspberry, Snowpeaks raspberry",Shrub,2.5,8-11,,LMH,SN,M,3,0,1
Rubus palmatus,,Shrub,1.8,7-10,,LMH,SN,M,2,0,
Rubus parviflorus,Thimbleberry,Shrub,2.5,3-7,M,LMH,SN,M,3,3,3
Rubus rolfei,'Emerald Carpet' raspberry,Shrub,0.1,7-9,,LMH,FSN,M,2,0,3
Rubus rosa,Rose blackberry,Shrub,0.0,0-0,,LMH,SN,M,2,0,
Rubus sanguineus,,Shrub,2.0,-,,LMH,SN,M,1,0,
Rubus setchuenensis,,Shrub,3.5,4-8,,LMH,SN,M,3,0,1
Rubus squarrosus,,Shrub,0.3,8-11,,LMH,SN,M,2,0,
Rubus thibetanus,,Shrub,2.5,5-9,M,LMH,SN,M,2,0,
Rubus tricolor,Creeping Bramble,Shrub,0.3,6-9,F,LMH,FSN,DM,3,0,3
Rubus trifidus,,Shrub,2.0,5-9,,LMH,SN,M,2,0,
Rumex angiocarpus,Common sheep sorrel,Perennial,0.3,0-0,,LMH,SN,M,1,0,
Rumex aquaticus,"Red Dock, Western dock",Perennial,1.8,0-0,,LMH,SN,WeWa,1,3,
Rumex bucephalophorus,red dock,Annual/Perennial,0.0,-,,LMH,SN,DM,1,0,
Rumex conglomeratus,"Sharp Dock, Clustered dock",Perennial,1.0,0-0,,LMH,SN,M,1,2,
Rumex daiwoo,sour dock,Perennial,1.0,-,,LMH,SN,MWe,1,2,
Rumex dentatus,toothed dock,Annual/Biennial,0.6,-,,LMH,SN,M,1,1,
Rumex occidentalis,Western Dock,Perennial,1.8,-,,LMH,SN,M,1,1,
Rumex sanguineus,"Red-Veined Dock, Redvein dock, Sorrel,  Bloody Dock",Perennial,1.0,6-8,M,LMH,SN,M,2,1,
Ruta graveolens,"Rue, Common rue, Herb of Grace, Garden Rue",Shrub,0.5,4-10,M,LMH,SN,DM,1,3,
Salicornia rubra,"Red Glasswort, red swampfire",Annual,0.2,-,,LMH,SN,M,1,0,
Salix atrocinerea,"Rusty Sallow, large gray willow",Tree,10.0,-,,LMH,N,MWe,0,3,
Salix fluviatilis,River Willow,Tree,7.0,3-7,,LMH,N,MWe,0,2,3
Salix gracilistyla,Rosegold Pussy Willow,Shrub,3.0,5-9,,LMH,N,MWe,1,2,3
Sambucus microbotrys,Red Elder,Shrub,2.0,5-9,,LMH,SN,M,1,0,
Sambucus racemosa,"Red Elder, Red elderberry, Rocky Mountain elder, European Red Elderberry",Shrub,3.0,3-7,M,LMH,SN,M,3,2,2
Sambucus racemosa kamtschatica,Red Elder,Shrub,3.0,4-8,,LMH,SN,M,3,2,2
Sambucus racemosa var. racemosa,Red Coast Elder,Shrub,3.0,5-9,,LMH,SN,M,3,2,2
Scirpus fluviatilis,River Bulrush,Perennial,2.0,-,,LMH,SN,MWeWa,2,1,
Scirpus validus,River Club-Rush,Perennial,1.5,6-9,,LMH,SN,MWeWa,2,1,
Secale cereale,"Rye, Cereal rye",Annual,1.8,3-7,,LMH,N,M,4,1,3
Secale cereale ancestrale,Rye,Annual,0.0,3-7,,LMH,N,M,2,0,0
Senecio jacobaea,"Ragwort, Stinking willie",Perennial,1.0,4-8,,LMH,SN,M,0,2,0
Senecio pseudoarnica,Seaside Ragwort,Perennial,0.5,-,,LM,N,M,1,1,
Senna alata,"Ringworm Bush, Candle Bush, Empress Candle Plant",Shrub,4.0,10-12,F,LMH,N,M,2,4,2
Solanum curtilobum,Rucki,Perennial,0.0,-,,LMH,SN,M,2,0,
Solanum juzepczukii,Rucki,Perennial,0.0,-,,LMH,SN,M,2,0,
Stauntonia hexaphylla,,Climber,10.0,8-11,M,LMH,SN,M,3,1,0
Swartzia panacoco,"Coracao-de-Negro, panococo, Brazilian ebony",Tree,25.0,10-12,M,LM,N,M,0,2,4
Synurus pungens,,Perennial,1.5,-,,LMH,N,M,1,0,
Taraxacum kok-saghyz,Rubber Dandelion,Perennial,0.3,-,,LMH,SN,M,1,0,
Taraxacum laevigatum,"Red-Seed Dandelion, Rock dandelion",Perennial,0.2,0-0,,LMH,SN,DM,1,0,
Thladiantha dubia,"Red Hailstone, Manchu tubergourd",Perennial Climber,2.0,6-9,F,LMH,N,M,1,2,
Tordylium apulum,"Roman Pimpernel, Mediterranean hartwort",Perennial,0.0,0-0,,LMH,N,M,1,0,
Toxicodendron sylvestre,Yame-haze,Tree,10.0,9-12,M,LMH,SN,M,0,0,4
Trachelospermum jasminoides,"Star Jasmine, Confederate jasmine",Climber,6.0,8-10,S,LMH,SN,M,0,2,2
Trifolium pratense,Red Clover,Perennial,0.6,5-9,M,LMH,N,M,3,3,4
Triticum turgidum,Rivet Wheat,Annual,1.5,-,,LMH,N,M,4,0,
Typha latifolia,"Reedmace, Broadleaf cattail, Bullrush, Nailrod",Perennial,2.5,3-10,F,LMH,N,WeWa,5,3,4
Ulmus thomasii,Rock Elm,Tree,30.0,-,S,LMH,SN,M,1,0,
Urtica pilulifera,Roman Nettle,Annual,0.6,-,,LMH,N,M,3,3,
Vaccinium parvifolium,"Red Bilberry, Red huckleberry",Shrub,1.8,5-9,,LM,SN,M,3,1,1
Vaccinium virgatum,"Rabbit-Eye Blueberry, Smallflower blueberry",Shrub,1.0,5-9,,LM,SN,M,1,0,
Viola sempervirens,"Redwood Violet, Evergreen violet",Perennial,0.1,0-0,,LMH,SN,M,2,0,
Vitis palmata,"Red Grape, Catbird grape",Climber,20.0,4-8,,LMH,SN,DM,2,0,
Vitis riparia,Riverbank Grape,Climber,15.0,2-6,F,LMH,SN,DM,3,0,2
Wisteria villosa,,Climber,0.0,-,,LMH,N,M,1,0,
Abies sibirica,Siberian Fir,Tree,30.0,-,,LMH,FSN,M,0,1,
Abutilon vitifolium,,Shrub,8.0,7-10,,LMH,SN,M,3,0,
Acacia retinodes,"Swamp Wattle, Water wattle",Tree,6.0,7-10,,LM,N,DM,2,0,
Acer pseudoplatanus,"Sycamore, Great Maple, Scottish Maple, Planetree Maple",Tree,30.0,4-7,F,LMH,SN,M,2,1,4
Acer truncatum,"Shantung Maple, Purpleblow Maple",Tree,8.0,3-8,S,LMH,SN,M,1,0,
Achillea ptarmica,"Sneeze-Wort, Sneezeweed",Perennial,0.6,3-9,F,LMH,N,M,2,1,2
Aciphylla squarrosa,Speargrass,Perennial,2.5,4-8,,LM,N,DM,2,0,
Adenophora stricta,"Sha Shen, Ladybells",Perennial,1.0,7-9,,LM,N,M,2,1,
Agriophyllum squarrosum,Sand Rice,Annual,0.4,-,,LMH,SN,M,1,0,
Albuca amboensis,Slime Lily,Bulb,0.0,-,,LM,N,DM,2,0,
Albuca canadensis,"Slime Lily, Albuca",Bulb,0.4,9-11,M,LM,N,DM,1,0,
Albuca major,Slime Lily,Bulb,0.5,7-10,,LM,N,DM,1,0,
Allium brevistylum,Shortstyle Onion,Bulb,0.5,-,,LM,N,MWe,3,2,
Allium flavum,"Small Yellow Onion, Ornamental  Onion",Bulb,0.5,4-7,M,LMH,SN,M,2,2,
Allium sativum ophioscorodon,Serpent Garlic,Bulb,0.6,7-10,,LM,N,DM,5,5,4
Allium validum,"Swamp Onion, Pacific onion",Bulb,0.6,7-10,,LM,N,MWe,3,2,
Alnus maritima,"Seaside Alder,  Beach Alder",Tree,9.0,3-7,M,MH,N,MWe,0,0,
Amaranthus dubius,Spleen Amaranth,Annual,1.0,-,,LMH,N,M,2,0,
Amaranthus graecizans,"Spreading Pigweed, Mediterranean amaranth",Annual,0.5,0-0,,LMH,N,M,2,0,
Amaranthus spinosus,Spiny Amaranth,Annual,0.6,4-11,,LMH,N,M,2,3,1
Anagallis arvensis,Scarlet Pimpernel,Annual,0.1,6-9,,LMH,N,DM,2,2,3
Anthoxanthum odoratum,Sweet Vernal Grass,Perennial,0.5,0-0,,LMH,N,DM,2,2,
Antirrhinum majus,"Snapdragon,  Garden snapdragon",Perennial,1.0,5-10,M,LM,SN,DM,1,1,2
Apium prostratum,"Sea Celery, Prostrate marshwort",Perennial,0.6,0-0,,LMH,S,M,3,0,
Apocynum androsaemifolium,Spreading Dogbane,Perennial,0.6,4-8,,LMH,FSN,DM,0,2,1
Aquilegia brevistyla,Smallflower columbine,Perennial,0.9,0-0,,LM,SN,M,2,1,
Aralia schmidtii,Sakhalin Spikenard,Perennial,3.0,4-8,,LMH,FS,M,2,0,
Arbutus unedo,Strawberry Tree,Tree,9.0,7-11,M,LM,SN,DM,4,2,2
Arctostaphylos stanfordiana,"Stanford's manzanita, Rincon manzanita",Shrub,1.5,5-9,,LM,SN,DM,3,0,1
Aristolochia rotunda,Snakeroot,Perennial,0.6,-,,M,SN,M,0,2,
Artemisia filifolia,"Sand Sage, Sand sagebrush",Shrub,1.2,3-7,,LM,SN,DM,0,2,1
Artemisia laciniata,Siberian wormwood,Perennial,0.0,0-0,,LMH,SN,DM,1,0,
Artemisia maritima,Sea Wormwood,Shrub,0.6,6-9,,LM,N,DM,1,2,
Artemisia schmidtiana,"Sagebrush, Silvermound, Wormwood, Mugwort",Perennial,0.3,5-8,M,LM,N,DM,1,0,
Artemisia tridentata,"Sage Brush, Big sagebrush, Bonneville big sagebrush",Shrub,2.5,4-10,,LM,N,DM,3,2,5
Arthropodium minus,Small Vanilla Lily,Perennial,0.3,7-10,,LM,N,M,2,0,
Artocarpus mariannensis,"Seeded breadfruit, Marianas bread",Tree,15.0,10-12,F,LM,SN,M,4,3,4
Asarum canadense,"Snake Root, Canadian wildginger, Canada Wild Ginger, Wild Ginger",Perennial,0.1,3-9,S,LMH,FS,M,3,3,3
Asclepias incarnata,"Swamp Milkweed, Swamp Butterfly Weed, Marsh Milkweed",Perennial,1.2,3-8,M,LM,SN,DMWe,3,2,3
Asclepias speciosa,Showy Milkweed,Perennial,0.8,3-9,,LM,SN,DM,3,2,3
Asparagus racemosus,Shatavari,Perennial,7.0,8-11,,LMH,SN,DM,3,5,
Asperula cynanchica,Squinancy Wort,Perennial,0.4,4-8,,LMH,SN,DM,0,1,
Aster tripolium,Sea Aster,Perennial,0.9,5-9,,LMH,N,M,2,1,
Astragalus boeticus,Swedish Coffee,Annual,0.6,7-10,,LM,N,D,2,0,
Atriplex argentea,"Silvery Orach, Silverscale saltbush, Stalked saltbush",Annual,0.5,0-0,,LM,N,M,2,2,
Atriplex glabriuscula,"Scotland orache,  Maritime saltbush, Frankton's saltbush, Northeastern saltbush",Annual,0.3,0-0,,LM,N,DM,2,0,
Atriplex halimus,"Sea Orach, Saltbush",Shrub,2.0,7-10,M,LM,N,DM,5,1,3
Atriplex patula,"Spreading Orach, Spear saltbush",Annual,0.8,0-0,,LM,N,M,3,1,
Atriplex saccaria,Sack Saltbush,Annual,0.3,-,,LM,N,DM,2,0,
Aucuba japonica,"Spotted Laurel, Japanese laurel, Japanese Gold Dust Tree",Shrub,3.0,7-10,M,LMH,FSN,DM,1,1,
Avena barbata,Slender Oat,Annual,0.0,4-8,F,LM,N,DM,2,0,2
Avena sterilis,"Sterile Oats, Animated oat",Annual,1.0,0-0,,MH,N,DM,3,0,2
Banksia marginata,Silver Banksia,Tree,9.0,8-11,,LM,N,M,2,0,
Bergenia cordifolia,"Siberian-tea, Pigsqueak, Heartleaf  Bergenia",Perennial,0.3,3-9,M,LMH,FSN,M,0,0,
Beta vulgaris cicla,Spinach Beet,Biennial,0.9,4-8,,LMH,N,M,4,2,
Beta vulgaris flavescens,Swiss Chard,Biennial,0.9,4-8,,LMH,N,M,4,2,2
Bidens bipinnata,Spanish Needles,Annual,1.0,0-0,,LMH,N,M,2,2,0
Billardiera cymosa,Sweet Appleberry,Climber,0.0,-,,LM,SN,M,2,0,
Brachyglottis Dunedin Hybrids,,Shrub,1.5,7-10,S,LMH,N,M,0,0,
Brachyglottis greyi,,Shrub,2.0,7-10,S,LMH,N,M,0,0,
Brachyglottis laxifolia,,Shrub,2.0,7-10,S,LMH,N,M,0,0,
Brachyglottis monroi,,Shrub,1.5,7-10,S,LMH,N,M,0,0,
Brachyglottis rotundifolia,,Shrub,6.0,8-11,,LMH,N,M,0,0,
Brassica juncea tumida,Swollen-Stem Mustard,Annual,0.8,6-9,,LMH,SN,M,4,2,
Brassica oleracea sabauda,Savoy Cabbage,Biennial,0.8,7-11,,LMH,SN,M,4,0,2
Brassica rapa oleifera,Stubble Turnip,Biennial,0.9,-,,LMH,SN,M,2,0,
Bumelia lycioides,Shittamwood,Tree,8.0,6-9,,LMH,N,M,2,0,
Bupleurum fruticosum,Shrubby Hare's Ear,Shrub,2.5,6-9,S,LM,SN,DM,0,0,
Cakile edentula,"Sea Rocket,  American searocket,  Harper's searocket",Annual,0.6,5-9,,L,N,DM,2,0,
Calochortus elegans,"Star Tulip, Elegant mariposa lily",Bulb,0.2,3-7,,LM,N,DM,1,0,
Calochortus macrocarpus,"Sagebrush Mariposa Lily,  Nez Perce mariposa lily",Bulb,0.5,3-7,,LM,N,DM,2,1,
Calopogonium caeruleum,Wild jicama,Climber,5.0,10-12,F,LMH,FSN,M,0,0,4
Capsella bursa-pastoris,Shepherd's Purse,Annual,0.3,6-10,,LMH,SN,DM,3,2,3
Caragana arborescens,"Siberian Pea Tree, Siberian peashrub",Shrub,6.0,2-7,F,LM,N,DM,5,1,4
Carex acutiformis,"Swamp Sedge, Lesser pond sedge",Perennial,0.8,0-0,,LMH,SN,MWe,1,0,
Carlina acaulis,Stemless Carline Thistle,Biennial/Perennial,0.2,4-8,,LMH,N,DM,2,2,
Carpobrotus aequilaterus,Sea Fig,Perennial,0.2,7-10,,LM,N,DM,2,0,
Carpobrotus deliciosus,Sweet Hottentot Fig,Perennial,0.2,7-10,,LMH,SN,M,2,0,
Carya carolinae-septentrionalis,"Southern Shagbark, Southern shagbark hickory",Tree,20.0,0-0,S,LMH,N,M,2,0,
Carya floridana,Scrub Hickory,Tree,20.0,-,,LMH,N,DM,2,0,
Carya pallida,Sand Hickory,Tree,30.0,5-9,S,LMH,N,M,3,1,
Casuarina glauca,"Swamp Oak, Gray sheoak",Tree,18.0,8-11,,LM,N,DM,1,0,3
Catalpa speciosa,"Shawnee Wood, Northern catalpa, Early Flowering Catalpa, Hardy Catalpa, Western Catalpa, Indian Ciga",Tree,15.0,4-9,F,LMH,N,M,0,0,
Ceanothus prostratus,"Squaw Carpet, Prostrate ceanothus",Shrub,0.1,6-9,,LM,SN,DM,0,0,3
Ceanothus velutinus,"Sticky Laurel,  Snowbrush ceanothus, Hooker's ceanothus",Shrub,2.5,4-8,,LM,SN,DM,2,2,
Centaurea solstitialis,"St. Barnaby's Thistle, Yellow star-thistle",Annual/Biennial,0.6,5-9,,LMH,N,DM,1,1,0
Chaerophyllum tuberosum,Sham,Biennial,0.0,-,,LMH,SN,M,1,0,
Chenopodium berlandieri,"Southern Huauzontle, Pitseed goosefoot, Nuttall's goosefoot, Bush's goosefoot,  Zschack's goosefoot",Annual,1.2,0-0,,LMH,N,M,2,0,1
Chenopodium opulifolium,Seaport goosefoot,Annual,0.8,0-0,,LMH,SN,M,2,0,
Chimaphila maculata,"Spotted Wintergreen, Striped prince's pine, Pipsissewa",Shrub,0.3,6-7,S,LMH,SN,M,1,3,2
Cinna latifolia,"Sweet Reed Grass, Drooping woodreed",Perennial,1.5,0-0,,LMH,SN,M,1,0,
Claytonia scammaniana,"Scamman's Claytonia,  Scamman's springbeauty",Perennial,0.2,0-0,,LM,N,M,2,0,
Clethra alnifolia,"Sweet Pepper Bush, Coastal sweetpepperbush, Summer Sweet",Shrub,2.5,4-8,,LM,SN,MWe,0,0,
Cneorum tricoccon,Spurge Olive,Shrub,0.6,8-11,,L,N,DM,0,1,
Cnidium monnieri,"She Chuang Zi, Monnier's snowparsley",Perennial,0.5,0-0,,LMH,SN,M,1,3,
Cochlearia officinalis,"Scurvy Grass, Spoonwort",Biennial/Perennial,0.3,0-0,,LMH,SN,M,1,2,
Comptonia peregrina,Sweet Fern,Shrub,1.5,3-6,M,LM,SN,DM,3,3,3
Convolvulus scammonia,Scammony,Perennial,0.8,6-9,,LM,N,DM,0,2,
Coprosma acerosa,Sand Coprosma,Shrub,0.5,7-10,,LM,SN,M,2,0,
Corallorhiza maculata,Summer Coralroot,Perennial,0.5,-,,LMH,SN,M,0,1,
Cornus officinalis,"Shan Zhu Yu, Asiatic dogwood, Japanese Cornel Dogwood",Shrub,10.0,5-8,M,LMH,SN,M,4,3,0
Coronilla emerus,Scorpion Senna,Shrub,2.7,5-9,,LM,N,DM,0,1,
Corrigiola littoralis,Strapwort,Annual/Biennial,0.3,-,,LM,N,M,1,1,
Corydalis aurea,Scrambled Eggs,Annual/Biennial,0.5,5-9,,LM,S,M,0,2,
Corylus heterophylla,Siberian Filbert,Tree,7.0,4-8,,LMH,SN,M,3,1,4
Cotoneaster divaricatus,Spreading Cotoneaster,Shrub,2.0,4-8,F,LMH,SN,DM,0,0,3
Cotoneaster simonsii,Simons' cotoneaster,Shrub,3.0,4-8,F,LMH,SN,DM,0,0,2
Crambe maritima,Sea Kale,Perennial,0.6,4-8,,LMH,SN,DM,4,0,3
Crataegus cuneata,"Sanzashi, Chinese hawthorn",Shrub,15.0,5-9,,LMH,SN,MWe,3,3,3
Crataegus flava,"Summer Haw, Yellowleaf hawthorn",Shrub,8.0,5-9,,LMH,SN,DMWe,3,2,3
Crocus sativus,Saffron,Corm,0.1,5-9,,LM,SN,DM,3,3,2
Cucumis melo flexuosus,Serpent Melon,Annual Climber,1.5,9-11,,LMH,N,M,4,2,
Cucumis melo momordica,Snap Melon,Annual Climber,1.5,9-11,,LMH,N,M,4,2,
Cucurbita moschata,"Squash, Crookneck squash",Annual Climber,0.6,2-11,F,LMH,SN,M,5,3,1
Cymopterus newberryi,Sweetroot Spring Parsley,,0.0,0-0,,LMH,SN,M,2,1,0
